transaction_hash,from_address,to_address,value_transferred,block_timestamp,network_latency_ms,drain_percentage,velocity_1h,geo_distance_km,failed_auth_attempts,offchain_invoice_uri,kyc_status,anomaly_label
0x0000000000000000000000000000000000000000000000000000000000000026,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,38713.970509697305,1782681356,55.60576572481935,3.779086792768305,8,30.173865848682144,0,ipfs://QmInvoice38,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000027,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,14843.852271895157,1783119477,22.04576234393511,0.035924293592629136,3,4.286747392032947,0,ipfs://QmInvoice39,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000028,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,5886.3070237470365,1784419935,59.91146031026278,8.684328059285512,7,37.74806304955971,0,ipfs://QmInvoice40,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000029,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,114756.16125972614,1782750702,52.08854568655726,0.8543249067300125,3,11.285374061683703,0,ipfs://QmInvoice41,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000002a,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,116338.72138242134,1784960548,83.1792861672724,5.9768080417317515,6,45.004660182594975,0,ipfs://QmInvoice42,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000002b,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,51133.495974144236,1784929269,98.12155684411302,9.862707388709483,6,11.051842383618352,0,ipfs://QmInvoice43,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000002c,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,21702.325490566196,1784995580,62.260428284619685,5.370540553413452,3,10.343698312519662,0,ipfs://QmInvoice44,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000002d,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,22478.380790582196,1785075136,42.42834300359461,9.241177173483257,7,2.7909337245566492,0,ipfs://QmInvoice45,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000002e,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,65723.2714863559,1783436042,18.689066580344686,2.368804165842869,3,24.131280310389965,0,ipfs://QmInvoice46,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000002f,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,114704.86745536262,1784411104,93.59468306900565,7.60195453528648,8,28.677215529868207,0,ipfs://QmInvoice47,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000030,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,110056.62846983067,1783841669,93.12483579868605,5.317344882195605,10,4.219723331989266,0,ipfs://QmInvoice48,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000031,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,76678.10959654517,1785254036,36.504164279085494,7.207955453300734,4,39.00085321805552,0,ipfs://QmInvoice49,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000032,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,52365.53467838525,1784176465,74.10994546406505,0.6327902114873021,13,23.211152902653353,0,ipfs://QmInvoice50,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000033,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,5394.586309804203,1783779598,21.41193650263039,1.4859135281432048,1,26.695123197051423,0,ipfs://QmInvoice51,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000034,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,9814.710734170574,1784216469,29.128311712286497,1.3398381165889077,4,22.59737459997318,0,ipfs://QmInvoice52,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000035,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,115411.52500887528,1782960711,33.428774059851754,6.874783398979278,14,20.637389982890973,0,ipfs://QmInvoice53,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000036,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,47624.69734827948,1783562538,40.03198548135154,8.44596231960995,7,28.422376234102675,0,ipfs://QmInvoice54,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000037,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,1461.9802805497204,1784080757,99.64566687749651,7.498666157765788,11,8.606772050604913,0,ipfs://QmInvoice55,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000038,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,6349.8450717974665,1784313170,74.23862974842426,0.31441680580860565,4,9.914478394268285,0,ipfs://QmInvoice56,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000039,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,55458.11936451205,1783322340,47.657155667233695,8.673477660936486,13,43.22749542966235,0,ipfs://QmInvoice57,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000003a,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,1253.7218525898502,1785202447,77.65355999665664,3.5479252412233233,6,47.359657644548,0,ipfs://QmInvoice58,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000003b,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,9765.790805209952,1783559146,92.79661904187404,3.977666686715784,9,19.292156497707893,0,ipfs://QmInvoice59,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000003c,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,40784.89230694658,1782943888,96.48970462966693,1.0576429736594843,1,14.266488984034135,0,ipfs://QmInvoice60,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000003d,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,59865.76433274063,1782863153,19.91843130940513,7.376678008877253,13,32.55597761871177,0,ipfs://QmInvoice61,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000003e,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,53772.07410676243,1784024616,48.534352881691035,1.831015945974821,5,21.027974383806722,0,ipfs://QmInvoice62,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000003f,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,13697.493365401224,1784778613,24.07426560455017,5.644011269268176,11,2.243931427356898,0,ipfs://QmInvoice63,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000040,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,63270.86444492694,1784261149,43.53110550774187,8.408692758920532,7,8.651477270943328,0,ipfs://QmInvoice64,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000041,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,14541.187952640295,1783772488,29.42279183112307,0.9011512438334414,1,36.08263921352248,0,ipfs://QmInvoice65,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000042,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,20681.745445904224,1784957824,69.98211074184152,5.35800228451508,14,33.28727315359742,0,ipfs://QmInvoice66,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000043,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,69617.87758328953,1783290913,48.00281263913914,2.339831951382514,4,2.327703632670691,0,ipfs://QmInvoice67,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000044,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,53438.6907151384,1782721036,34.498553384920726,3.4358393741398197,6,11.876635934714523,0,ipfs://QmInvoice68,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000045,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,95597.80387317005,1783393668,37.60472362196031,4.744959714891256,2,12.322665032815499,0,ipfs://QmInvoice69,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000046,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,54590.66440848812,1783869640,45.6293330924478,3.5574919897602544,10,33.922744436337695,0,ipfs://QmInvoice70,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000047,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,43002.21527936287,1784435132,37.09573834261233,6.491740174512844,5,1.9658163499638435,0,ipfs://QmInvoice71,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000048,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,5917.853072420524,1784710370,53.52547198045064,4.801025196524959,11,6.101320517244118,0,ipfs://QmInvoice72,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000049,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,23920.815360351,1783208147,17.74685584432029,5.8461528522945505,10,40.19588818328628,0,ipfs://QmInvoice73,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000004a,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,16408.00739294156,1785122897,38.77989810936039,7.370856529195179,1,9.748688440662347,0,ipfs://QmInvoice74,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000004b,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,14985.010183121063,1783724497,49.95257127413583,5.581845236844869,6,32.98455928474186,0,ipfs://QmInvoice75,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000004c,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,181615.4703081463,1784076251,66.23645997198037,5.869488992260983,6,12.6709562712896,0,ipfs://QmInvoice76,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000004d,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,25969.37485200119,1782923413,38.031399613786036,5.648940839801186,13,5.872628245207913,0,ipfs://QmInvoice77,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000004e,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,112302.76056242613,1784220019,26.320735644018725,3.7939385332533804,4,12.91543735897325,0,ipfs://QmInvoice78,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000004f,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,50866.719286824155,1783162993,21.47703226592887,3.381093870380462,13,36.391079660927296,0,ipfs://QmInvoice79,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000050,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,80191.26263442,1783758801,94.94520530650759,8.997477497478673,8,42.929126937208004,0,ipfs://QmInvoice80,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000051,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,35921.76621943852,1783176920,50.41431990777073,6.0794766707127925,4,41.680773363782585,0,ipfs://QmInvoice81,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000052,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,44007.79513207925,1783003514,64.39882280037023,2.4510880230918985,8,20.461992951304286,0,ipfs://QmInvoice82,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000053,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,34914.67166708467,1784727644,93.13000690602256,4.987494501510913,13,33.736171691961665,0,ipfs://QmInvoice83,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000054,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,11860.744766261925,1784920909,22.033615703001022,3.3101813279963306,8,11.044230475375228,0,ipfs://QmInvoice84,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000055,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,65088.09015329019,1782780861,89.51622630369238,9.337581319361147,5,15.36423878278965,0,ipfs://QmInvoice85,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000056,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,17478.868418313148,1783496847,61.88496916624595,0.08526828770940664,13,44.92045510753487,0,ipfs://QmInvoice86,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000057,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,2230.8240540344304,1783986014,29.01091219664508,2.261074649148157,4,1.6370942520260656,0,ipfs://QmInvoice87,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000058,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,52848.439314763695,1783057698,49.95668490975637,3.6599146285438358,12,5.189918011868936,0,ipfs://QmInvoice88,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000059,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,10746.678511241134,1784345171,81.09619411749418,4.8832199100792915,13,11.186426502155339,0,ipfs://QmInvoice89,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000005a,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,142054.15736366514,1784601226,55.831456958640146,8.5096670031831,2,2.300077989817166,0,ipfs://QmInvoice90,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000005b,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,154878.12063940117,1783310794,98.74931430656787,0.8879973691560373,11,9.890336319400069,0,ipfs://QmInvoice91,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000005c,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,124175.49423169208,1782737874,47.02281244472496,8.060590218544023,3,29.569036487514918,0,ipfs://QmInvoice92,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000005d,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,24114.369824868336,1782675188,78.71415549796612,0.5659783586761836,3,21.6498029790324,0,ipfs://QmInvoice93,PASSED,1
0x000000000000000000000000000000000000000000000000000000000000005e,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,1778.8657685972191,1784851818,48.404103163203025,8.424717212628835,4,44.74091384277177,0,ipfs://QmInvoice94,PASSED,0
0x000000000000000000000000000000000000000000000000000000000000005f,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,132776.17286659448,1784596517,85.47895876005373,0.5258384239663833,4,41.054734525183605,0,ipfs://QmInvoice95,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000060,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,28946.913852653066,1782829085,63.37192487908855,0.19224238946932687,10,17.749050233195923,0,ipfs://QmInvoice96,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000061,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,171042.1008061028,1783207547,20.398505515150113,6.972645009040551,11,13.711748238133332,0,ipfs://QmInvoice97,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000062,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,166686.77380651026,1784900557,18.129858749059267,9.97258279233626,11,19.60492800019608,0,ipfs://QmInvoice98,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000063,0xALBION_ENERGY_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,96869.35085897095,1783203752,26.37743009805382,8.967136527110467,5,29.92445218322558,0,ipfs://QmInvoice99,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000064,0xALBION_ENERGY_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,18438.803408608015,1783188692,16.162117010294768,5.764224193878543,4,14.135118400320938,0,ipfs://QmInvoice100,PASSED,1
0x0000000000000000000000000000000000000000000000000000000000000065,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,25314.59660493468,1783363016,21.405520129959296,9.174782174724461,11,31.583296484607565,0,ipfs://QmInvoice101,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000066,0xMERIDIAN_RETAIL_WALLET,0xCONFIDENTIAL_SPACE_ESCROW,96236.33262390399,1783505648,73.79572375935751,0.06294706391207812,14,21.06117095737078,0,ipfs://QmInvoice102,PASSED,0
0x0000000000000000000000000000000000000000000000000000000000000067,0xMERIDIAN_RETAIL_WALLET,0xDIGITAL_PASSBOOK_CONTRACT,20057.311571535854,1783834849,60.41943337750436,9.750920957821974,10,28.05031186174703,0,ipfs://QmInvoice103,PASSED,0
